Index,Action
0,board_fast1_p0_n2_n0_n1
1,board_fast1_p1_n6_n1_n2
2,leave_fast1_p1_n4_n2_n1
3,board_fast1_p6_n0_n1_n2
4,leave_fast1_p6_n6_n2_n1
5,board_fast1_p4_n6_n1_n2
6,board_slow0-0_p2_n1_n0_n1
7,board_slow0-0_p3_n3_n1_n2
8,leave_slow0-0_p2_n4_n2_n1
9,board_slow0-0_p1_n4_n1_n2
10,board_slow1-0_p2_n4_n0_n1
11,board_slow1-0_p5_n6_n1_n2
12,leave_fast1_p0_n8_n2_n1
13,leave_slow0-0_p3_n0_n2_n1
14,leave_fast1_p4_n0_n1_n0
15,leave_slow0-0_p1_n1_n1_n0
16,leave_slow1-0_p2_n7_n2_n1
17,board_slow1-0_p6_n6_n1_n2
18,leave_slow1-0_p5_n5_n2_n1
19,leave_slow1-0_p6_n5_n1_n0
