Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p0_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p0_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
2,0,2,board_fast0_p0_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
3,0,3,board_fast0_p21_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
4,0,4,board_fast0_p21_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
5,0,5,board_fast0_p21_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
6,0,6,leave_fast0_p0_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
7,0,7,board_fast0_p23_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
8,0,8,board_fast0_p23_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
9,0,9,board_fast0_p23_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
10,0,10,leave_fast0_p21_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p2_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p2_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
13,0,13,board_fast0_p2_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
14,0,14,leave_fast0_p23_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
15,0,15,board_fast0_p3_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
16,0,16,board_fast0_p3_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
17,0,17,board_fast0_p3_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
18,0,18,leave_fast0_p0_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
19,0,19,board_fast0_p8_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
20,0,20,board_fast0_p8_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
21,0,21,board_fast0_p0_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
22,0,22,leave_fast0_p21_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
23,0,23,board_fast0_p11_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
24,0,24,board_fast0_p11_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
25,0,25,board_fast0_p21_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
26,0,26,leave_fast0_p23_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
27,0,27,board_fast0_p6_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
28,0,28,board_fast0_p6_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
29,0,29,board_fast0_p23_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
30,0,30,leave_fast0_p0_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
31,0,31,board_fast0_p0_n16_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL2 )
32,0,32,board_fast0_p21_n16_n0_n1,(boarded p21 fast0),(P_ARTIFICIAL3 )
33,0,33,board_fast0_p23_n16_n0_n1,(boarded p23 fast0),(P_ARTIFICIAL4 )
34,0,34,board_fast0_p0_n16_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL16 )
35,0,35,board_fast0_p2_n0_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL6 )
36,0,36,board_fast0_p3_n0_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
37,0,37,board_fast0_p8_n4_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL8 )
38,0,38,board_fast0_p11_n4_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL9 )
39,0,39,board_fast0_p6_n8_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL10 )
40,0,40,board_fast0_p9_n12_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL11 )
41,0,41,board_fast0_p10_n12_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL12 )
42,0,42,board_fast0_p13_n12_n0_n1,(boarded p13 fast0),(P_ARTIFICIAL13 )
43,0,43,board_fast0_p18_n12_n0_n1,(boarded p18 fast0),(P_ARTIFICIAL14 )
44,0,44,board_fast0_p25_n16_n0_n1,(boarded p25 fast0),(P_ARTIFICIAL17 )
45,0,45,board_fast0_p7_n16_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL18 )
46,0,46,board_fast0_p16_n16_n0_n1,(boarded p16 fast0),(P_ARTIFICIAL19 )
47,0,47,board_fast0_p5_n16_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL20 )
48,0,48,board_fast0_p15_n16_n0_n1,(boarded p15 fast0),(P_ARTIFICIAL21 )
49,0,49,board_fast0_p12_n16_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL22 )
50,0,50,board_fast0_p1_n16_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL23 )
51,0,51,board_fast0_p20_n16_n0_n1,(boarded p20 fast0),(P_ARTIFICIAL24 )
52,0,52,board_fast0_p14_n16_n0_n1,(boarded p14 fast0),(P_ARTIFICIAL25 )
53,0,53,board_fast0_p17_n16_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL26 )
54,0,54,board_fast0_p22_n16_n0_n1,(boarded p22 fast0),(P_ARTIFICIAL27 )
55,0,55,board_fast0_p4_n16_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL28 )
56,0,56,board_fast0_p19_n16_n0_n1,(boarded p19 fast0),(P_ARTIFICIAL29 )
57,0,57,board_fast0_p24_n16_n0_n1,(boarded p24 fast0),(P_ARTIFICIAL30 )
58,0,58,board_fast0_p9_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
59,0,59,board_fast0_p9_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
60,0,60,board_fast0_p8_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
61,0,61,leave_fast0_p21_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
62,0,62,board_fast0_p10_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
63,0,63,board_fast0_p10_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
64,0,64,board_fast0_p11_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
65,0,65,leave_fast0_p23_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
66,0,66,board_fast0_p13_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
67,0,67,board_fast0_p13_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
68,0,68,board_fast0_p0_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
69,0,69,leave_fast0_p0_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
70,0,70,board_fast0_p18_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
71,0,71,board_fast0_p18_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
72,0,72,board_fast0_p21_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
73,0,73,leave_fast0_p21_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
74,0,74,board_fast0_p0_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
75,0,75,board_fast0_p0_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
76,0,76,board_fast0_p23_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
77,0,77,leave_fast0_p23_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
78,0,78,board_fast0_p21_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
79,0,79,board_fast0_p21_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
80,0,80,board_fast0_p6_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
81,0,81,leave_fast0_p0_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
82,0,82,board_fast0_p23_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
83,0,83,board_fast0_p23_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
84,0,84,board_fast0_p0_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
85,0,85,leave_fast0_p21_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
86,0,86,board_fast0_p0_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
87,0,87,board_fast0_p0_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
88,0,88,board_fast0_p21_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
89,0,89,leave_fast0_p23_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
90,0,90,board_fast0_p21_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
91,0,91,board_fast0_p21_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
92,0,92,board_fast0_p23_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
93,0,93,leave_fast0_p2_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
94,0,94,board_fast0_p0_n16_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL2 )
95,0,95,board_fast0_p21_n16_n1_n2,(boarded p21 fast0),(P_ARTIFICIAL3 )
96,0,96,board_fast0_p23_n16_n1_n2,(boarded p23 fast0),(P_ARTIFICIAL4 )
97,0,97,board_fast0_p21_n16_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL16 )
98,0,98,board_fast0_p2_n0_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL6 )
99,0,99,board_fast0_p3_n0_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL7 )
100,0,100,board_fast0_p8_n4_n1_n2,(boarded p8 fast0),(P_ARTIFICIAL8 )
101,0,101,board_fast0_p11_n4_n1_n2,(boarded p11 fast0),(P_ARTIFICIAL9 )
102,0,102,board_fast0_p6_n8_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL10 )
103,0,103,board_fast0_p9_n12_n1_n2,(boarded p9 fast0),(P_ARTIFICIAL11 )
104,0,104,board_fast0_p10_n12_n1_n2,(boarded p10 fast0),(P_ARTIFICIAL12 )
105,0,105,board_fast0_p13_n12_n1_n2,(boarded p13 fast0),(P_ARTIFICIAL13 )
106,0,106,board_fast0_p18_n12_n1_n2,(boarded p18 fast0),(P_ARTIFICIAL14 )
107,0,107,board_fast0_p12_n0_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL22 )
108,0,108,board_fast0_p1_n0_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL23 )
109,0,109,board_fast0_p20_n0_n0_n1,(boarded p20 fast0),(P_ARTIFICIAL24 )
110,0,110,board_fast0_p14_n0_n0_n1,(boarded p14 fast0),(P_ARTIFICIAL25 )
111,0,111,board_fast0_p17_n0_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL26 )
112,0,112,board_fast0_p22_n0_n0_n1,(boarded p22 fast0),(P_ARTIFICIAL27 )
113,0,113,board_fast0_p25_n8_n0_n1,(boarded p25 fast0),(P_ARTIFICIAL17 )
114,0,114,board_fast0_p7_n8_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL18 )
115,0,115,board_fast0_p16_n8_n0_n1,(boarded p16 fast0),(P_ARTIFICIAL19 )
116,0,116,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL20 )
117,0,117,board_fast0_p15_n8_n0_n1,(boarded p15 fast0),(P_ARTIFICIAL21 )
118,0,118,board_fast0_p4_n8_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL28 )
119,0,119,board_fast0_p19_n8_n0_n1,(boarded p19 fast0),(P_ARTIFICIAL29 )
120,0,120,board_fast0_p24_n8_n0_n1,(boarded p24 fast0),(P_ARTIFICIAL30 )
121,0,121,board_fast0_p23_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
122,0,122,board_fast0_p23_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
123,0,123,board_fast0_p9_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
124,0,124,leave_fast0_p3_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
125,0,125,board_fast0_p0_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
126,0,126,board_fast0_p0_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
127,0,127,board_fast0_p10_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
128,0,128,leave_fast0_p8_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
129,0,129,board_fast0_p21_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
130,0,130,board_fast0_p21_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
131,0,131,board_fast0_p13_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
132,0,132,leave_fast0_p11_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
133,0,133,board_fast0_p23_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
134,0,134,board_fast0_p23_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
135,0,135,board_fast0_p18_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
136,0,136,leave_fast0_p6_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
137,0,137,board_fast0_p0_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
138,0,138,board_fast0_p0_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
139,0,139,board_fast0_p0_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
140,0,140,leave_fast0_p9_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
141,0,141,board_fast0_p21_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
142,0,142,board_fast0_p21_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
143,0,143,board_fast0_p21_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
144,0,144,leave_fast0_p10_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
145,0,145,board_fast0_p23_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
146,0,146,board_fast0_p23_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
147,0,147,board_fast0_p23_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL15 )
148,0,148,leave_fast0_p13_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
149,0,149,leave_fast0_p0_n16_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
150,0,150,board_fast0_p2_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
