Index,Action
0,board_slow1-0_p7_n14_n0_n1
1,leave_slow1-0_p7_n8_n1_n0
2,leave_slow1-0_p15_n8_n1_n0
3,board_slow0-0_p1_n7_n0_n1
4,board_slow1-0_p4_n10_n0_n1
5,board_slow0-0_p7_n8_n0_n1
6,board_slow1-0_p10_n12_n0_n1
7,board_slow0-0_p20_n7_n0_n1
8,board_slow1-0_p24_n10_n0_n1
9,board_slow0-0_p8_n4_n0_n1
10,board_slow0-0_p11_n4_n0_n1
11,board_slow0-0_p14_n2_n0_n1
12,board_slow0-0_p15_n8_n0_n1
13,board_slow0-0_p17_n2_n0_n1
14,board_slow0-0_p22_n2_n0_n1
15,board_slow1-0_p0_n16_n0_n1
16,board_slow1-0_p6_n8_n0_n1
17,board_slow1-0_p13_n12_n0_n1
18,board_slow1-0_p16_n14_n0_n1
19,board_slow1-0_p18_n12_n0_n1
20,board_slow1-0_p19_n10_n0_n1
21,board_slow1-0_p23_n16_n0_n1
22,leave_slow1-0_p10_n8_n1_n0
23,leave_slow0-0_p8_n2_n1_n0
24,leave_slow0-0_p11_n1_n1_n0
25,leave_slow0-0_p12_n2_n1_n0
26,leave_slow0-0_p14_n1_n1_n0
27,leave_slow0-0_p15_n7_n1_n0
28,leave_slow0-0_p17_n3_n1_n0
29,leave_slow0-0_p22_n3_n1_n0
30,leave_slow1-0_p0_n11_n1_n0
31,leave_slow1-0_p6_n9_n1_n0
32,leave_slow1-0_p13_n9_n1_n0
33,leave_slow1-0_p16_n10_n1_n0
34,leave_slow1-0_p18_n14_n1_n0
35,leave_slow1-0_p19_n11_n1_n0
36,leave_slow1-0_p23_n14_n1_n0
37,board_fast1_p9_n12_n0_n1
38,leave_slow0-0_p1_n8_n1_n0
39,leave_slow1-0_p4_n8_n1_n0
40,leave_slow1-0_p5_n16_n1_n0
41,leave_slow0-0_p7_n4_n1_n0
42,leave_slow0-0_p20_n4_n1_n0
43,leave_slow1-0_p24_n12_n1_n0
44,leave_slow1-0_p25_n8_n1_n0
45,board_fast1_p21_n16_n1_n2
46,board_fast1_p2_n0_n2_n3
47,leave_fast1_p21_n4_n3_n2
48,board_slow0-0_p21_n4_n0_n1
49,leave_slow0-0_p21_n5_n1_n0
50,leave_fast1_p2_n12_n2_n1
51,board_slow1-0_p2_n12_n0_n1
52,leave_slow1-0_p2_n14_n1_n0
53,board_fast1_p3_n0_n1_n2
54,leave_fast1_p3_n16_n2_n1
55,leave_fast1_p9_n0_n1_n0
