Index,Action
0,board_slow1-0_p1_n8_n0_n1
1,board_slow1-0_p4_n5_n0_n1
2,leave_slow1-0_p4_n4_n1_n0
3,board_slow1-0_p3_n4_n0_n1
4,board_slow1-0_p5_n4_n0_n1
5,leave_slow1-0_p3_n8_n1_n0
6,leave_slow1-0_p5_n6_n1_n0
7,leave_slow1-0_p1_n5_n1_n0
8,board_fast1_p2_n6_n0_n1
9,leave_fast1_p2_n2_n1_n0
10,board_fast1_p7_n8_n0_n1
11,board_fast1_p4_n4_n1_n2
12,board_fast1_p6_n0_n2_n3
13,board_slow0-0_p0_n3_n0_n1
14,board_slow0-0_p2_n2_n1_n2
15,leave_fast1_p4_n0_n3_n2
16,leave_fast1_p6_n2_n2_n1
17,leave_fast1_p7_n2_n1_n0
18,leave_slow0-0_p0_n1_n2_n1
19,leave_slow0-0_p2_n3_n1_n0
