Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p2_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p2_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
2,0,2,board_fast0_p1_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p1_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
4,0,4,leave_fast0_p2_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p7_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p7_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
7,0,7,leave_fast0_p2_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p6_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
9,0,9,board_fast0_p6_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
10,0,10,leave_fast0_p2_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p2_n6_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
12,0,12,board_fast0_p1_n8_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL4 )
13,0,13,board_fast0_p2_n6_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
14,0,14,board_fast0_p7_n8_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL5 )
15,0,15,board_fast0_p6_n0_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL6 )
16,0,16,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
17,0,17,board_fast0_p5_n4_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
18,0,18,board_fast0_p0_n6_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
19,0,19,board_fast0_p4_n6_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL11 )
20,0,20,board_fast0_p3_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
21,0,21,board_fast0_p3_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
22,0,22,leave_fast0_p2_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
23,0,23,board_fast0_p5_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
24,0,24,board_fast0_p5_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
25,0,25,leave_fast0_p2_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
26,0,26,board_fast0_p2_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
27,0,27,board_fast0_p2_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
28,0,28,leave_fast0_p1_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
29,0,29,board_fast0_p2_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
30,0,30,board_fast0_p2_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
31,0,31,leave_fast0_p7_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
32,0,32,board_fast0_p2_n6_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL2 )
33,0,33,board_fast0_p1_n8_n1_n2,(boarded p1 fast0),(P_ARTIFICIAL4 )
34,0,34,board_fast0_p1_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
35,0,35,board_fast0_p7_n8_n1_n2,(boarded p7 fast0),(P_ARTIFICIAL5 )
36,0,36,board_fast0_p6_n0_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL6 )
37,0,37,board_fast0_p3_n4_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL7 )
38,0,38,board_fast0_p5_n4_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL8 )
39,0,39,board_fast0_p0_n8_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
40,0,40,board_fast0_p4_n8_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL11 )
41,0,41,board_fast0_p2_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
42,0,42,board_fast0_p2_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
43,0,43,leave_fast0_p6_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
44,0,44,board_fast0_p2_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
45,0,45,board_fast0_p2_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
46,0,46,leave_fast0_p3_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
47,0,47,leave_fast0_p2_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
48,0,48,board_fast0_p1_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
49,0,49,leave_fast0_p5_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
50,0,50,leave_fast0_p1_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
51,0,51,board_fast0_p7_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
52,0,52,leave_fast0_p1_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
53,0,53,board_fast0_p2_n8_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
54,0,54,board_fast0_p1_n8_n2_n3,(boarded p1 fast0),(P_ARTIFICIAL4 )
55,0,55,board_fast0_p7_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
56,0,56,board_fast0_p7_n8_n2_n3,(boarded p7 fast0),(P_ARTIFICIAL5 )
57,0,57,board_fast0_p6_n0_n2_n3,(boarded p6 fast0),(P_ARTIFICIAL6 )
58,0,58,board_fast0_p3_n4_n2_n3,(boarded p3 fast0),(P_ARTIFICIAL7 )
59,0,59,board_fast0_p5_n4_n2_n3,(boarded p5 fast0),(P_ARTIFICIAL8 )
60,0,60,board_fast0_p0_n0_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
61,0,61,board_fast0_p4_n4_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL11 )
62,0,62,leave_fast0_p7_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
63,0,63,board_fast0_p6_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
64,0,64,leave_fast0_p7_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
65,0,65,leave_fast0_p6_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
66,0,66,board_fast0_p3_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
67,0,67,leave_fast0_p6_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
68,0,68,leave_fast0_p3_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
69,0,69,board_fast0_p5_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
70,0,70,leave_fast0_p3_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
71,0,71,leave_fast0_p5_n6_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
72,0,72,board_fast0_p6_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
73,0,73,leave_fast0_p5_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
74,0,74,board_fast0_p2_n0_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
75,0,75,board_fast0_p1_n6_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL4 )
76,0,76,board_fast0_p2_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
77,0,77,board_fast0_p7_n6_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL5 )
78,0,78,board_fast0_p6_n6_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL6 )
79,0,79,board_fast0_p3_n6_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
80,0,80,board_fast0_p5_n6_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
81,0,81,board_fast0_p0_n2_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
82,0,82,board_fast0_p4_n6_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL11 )
83,0,83,leave_fast0_p2_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
84,0,84,board_fast0_p3_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
85,0,85,leave_fast0_p1_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
86,0,86,leave_fast0_p1_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
87,0,87,board_fast0_p5_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
88,0,88,leave_fast0_p7_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
89,0,89,leave_fast0_p7_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
90,0,90,board_fast0_p1_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
91,0,91,leave_fast0_p6_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
92,0,92,leave_fast0_p6_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
93,0,93,board_fast0_p7_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
94,0,94,leave_fast0_p3_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
95,0,95,board_fast0_p2_n2_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
96,0,96,board_fast0_p6_n8_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL6 )
97,0,97,board_fast0_p6_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
98,0,98,board_fast0_p3_n8_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
99,0,99,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
100,0,100,board_fast0_p1_n0_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL4 )
101,0,101,board_fast0_p7_n0_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL5 )
102,0,102,board_fast0_p0_n4_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
103,0,103,board_fast0_p4_n8_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL11 )
104,0,104,leave_fast0_p3_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
105,0,105,board_fast0_p3_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
106,0,106,leave_fast0_p5_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
107,0,107,leave_fast0_p5_n8_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
108,0,108,board_fast0_p5_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
109,0,109,leave_fast0_p1_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
110,0,110,leave_fast0_p2_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
111,0,111,board_fast0_p1_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
112,0,112,leave_fast0_p7_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
113,0,113,leave_fast0_p1_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
114,0,114,board_fast0_p7_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
115,0,115,leave_fast0_p6_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
116,0,116,board_fast0_p2_n4_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
117,0,117,board_fast0_p3_n0_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
118,0,118,board_fast0_p2_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
119,0,119,board_fast0_p5_n0_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
120,0,120,board_fast0_p1_n2_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL4 )
121,0,121,board_fast0_p7_n2_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL5 )
122,0,122,board_fast0_p6_n2_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL6 )
123,0,123,board_fast0_p0_n6_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL10 )
124,0,124,board_fast0_p4_n4_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL11 )
125,0,125,leave_fast0_p7_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
126,0,126,board_fast0_p6_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
127,0,127,leave_fast0_p3_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
128,0,128,leave_fast0_p6_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
129,0,129,board_fast0_p3_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
130,0,130,leave_fast0_p5_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
131,0,131,leave_fast0_p3_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
132,0,132,board_fast0_p5_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
133,0,133,leave_fast0_p1_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
134,0,134,leave_fast0_p5_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
135,0,135,board_fast0_p1_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
136,0,136,leave_fast0_p7_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
137,0,137,board_fast0_p2_n8_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL2 )
138,0,138,board_fast0_p3_n2_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL7 )
139,0,139,board_fast0_p2_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
140,0,140,board_fast0_p5_n2_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
141,0,141,board_fast0_p1_n4_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL4 )
142,0,142,board_fast0_p7_n4_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL5 )
143,0,143,board_fast0_p6_n4_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL6 )
144,0,144,board_fast0_p0_n8_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL10 )
145,0,145,board_fast0_p4_n0_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL11 )
146,0,146,leave_fast0_p2_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
147,0,147,board_fast0_p7_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
148,0,148,leave_fast0_p6_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
149,0,149,leave_fast0_p1_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
150,0,150,board_fast0_p6_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
151,0,151,leave_fast0_p3_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
152,0,152,leave_fast0_p7_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
153,0,153,leave_fast0_p2_n6_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
154,0,154,leave_fast0_p5_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
155,0,155,leave_fast0_p6_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
156,0,156,leave_fast0_p1_n6_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
157,0,157,leave_fast0_p0_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
158,0,158,board_fast0_p2_n0_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL2 )
159,0,159,board_fast0_p1_n6_n1_n2,(boarded p1 fast0),(P_ARTIFICIAL4 )
160,0,160,board_fast0_p3_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
161,0,161,board_fast0_p7_n6_n1_n2,(boarded p7 fast0),(P_ARTIFICIAL5 )
162,0,162,board_fast0_p6_n6_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL6 )
163,0,163,board_fast0_p3_n6_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL7 )
164,0,164,board_fast0_p5_n6_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL8 )
165,0,165,board_fast0_p0_n0_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL10 )
166,0,166,board_fast0_p4_n2_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL11 )
