Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p4_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p4_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
2,0,2,board_fast0_p4_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
3,0,3,board_fast0_p20_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
4,0,4,board_fast0_p20_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
5,0,5,board_fast0_p20_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
6,0,6,leave_fast0_p4_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
7,0,7,board_fast0_p5_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
8,0,8,board_fast0_p5_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
9,0,9,board_fast0_p5_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
10,0,10,leave_fast0_p20_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p15_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p15_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
13,0,13,board_fast0_p15_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
14,0,14,leave_fast0_p4_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
15,0,15,board_fast0_p0_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
16,0,16,board_fast0_p0_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
17,0,17,board_fast0_p4_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
18,0,18,leave_fast0_p20_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
19,0,19,board_fast0_p9_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
20,0,20,board_fast0_p9_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
21,0,21,board_fast0_p20_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
22,0,22,leave_fast0_p4_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
23,0,23,board_fast0_p18_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
24,0,24,board_fast0_p18_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
25,0,25,board_fast0_p0_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
26,0,26,leave_fast0_p20_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
27,0,27,board_fast0_p17_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
28,0,28,board_fast0_p17_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
29,0,29,board_fast0_p9_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
30,0,30,leave_fast0_p4_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
31,0,31,board_fast0_p4_n4_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
32,0,32,board_fast0_p20_n4_n0_n1,(boarded p20 fast0),(P_ARTIFICIAL3 )
33,0,33,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL5 )
34,0,34,board_fast0_p4_n4_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL14 )
35,0,35,board_fast0_p15_n8_n0_n1,(boarded p15 fast0),(P_ARTIFICIAL6 )
36,0,36,board_fast0_p0_n12_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL7 )
37,0,37,board_fast0_p9_n12_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL8 )
38,0,38,board_fast0_p18_n12_n0_n1,(boarded p18 fast0),(P_ARTIFICIAL9 )
39,0,39,board_fast0_p17_n16_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL10 )
40,0,40,board_fast0_p6_n0_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL11 )
41,0,41,board_fast0_p22_n0_n0_n1,(boarded p22 fast0),(P_ARTIFICIAL12 )
42,0,42,board_fast0_p14_n4_n0_n1,(boarded p14 fast0),(P_ARTIFICIAL15 )
43,0,43,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL16 )
44,0,44,board_fast0_p2_n4_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL17 )
45,0,45,board_fast0_p1_n4_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL18 )
46,0,46,board_fast0_p19_n4_n0_n1,(boarded p19 fast0),(P_ARTIFICIAL19 )
47,0,47,board_fast0_p13_n8_n0_n1,(boarded p13 fast0),(P_ARTIFICIAL20 )
48,0,48,board_fast0_p7_n8_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL21 )
49,0,49,board_fast0_p10_n8_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL22 )
50,0,50,board_fast0_p11_n8_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL23 )
51,0,51,board_fast0_p16_n8_n0_n1,(boarded p16 fast0),(P_ARTIFICIAL24 )
52,0,52,board_fast0_p21_n8_n0_n1,(boarded p21 fast0),(P_ARTIFICIAL25 )
53,0,53,board_fast0_p23_n8_n0_n1,(boarded p23 fast0),(P_ARTIFICIAL26 )
54,0,54,board_fast0_p8_n8_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL27 )
55,0,55,board_fast0_p12_n8_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL28 )
56,0,56,board_fast0_p6_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
57,0,57,board_fast0_p6_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
58,0,58,board_fast0_p18_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
59,0,59,leave_fast0_p20_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
60,0,60,board_fast0_p22_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
61,0,61,board_fast0_p22_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
62,0,62,board_fast0_p4_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
63,0,63,leave_fast0_p4_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
64,0,64,board_fast0_p4_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
65,0,65,board_fast0_p4_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
66,0,66,board_fast0_p20_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
67,0,67,leave_fast0_p20_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
68,0,68,board_fast0_p20_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
69,0,69,board_fast0_p20_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
70,0,70,board_fast0_p17_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
71,0,71,leave_fast0_p5_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
72,0,72,board_fast0_p4_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
73,0,73,board_fast0_p4_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
74,0,74,board_fast0_p4_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
75,0,75,leave_fast0_p15_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
76,0,76,board_fast0_p20_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
77,0,77,board_fast0_p20_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
78,0,78,board_fast0_p20_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL13 )
79,0,79,leave_fast0_p0_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
80,0,80,board_fast0_p4_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
