Index,Action
0,board_slow1-0_p10_n13_n0_n1
1,leave_slow1-0_p10_n8_n1_n0
2,board_slow1-0_p0_n16_n0_n1
3,board_slow1-0_p2_n16_n0_n1
4,board_slow0-0_p6_n0_n0_n1
5,board_slow0-0_p5_n6_n0_n1
6,leave_slow0-0_p5_n8_n1_n0
7,board_slow0-0_p7_n7_n0_n1
8,board_slow0-0_p9_n4_n0_n1
9,board_slow0-0_p10_n8_n0_n1
10,board_slow1-0_p5_n8_n0_n1
11,leave_slow1-0_p0_n12_n1_n0
12,leave_slow1-0_p2_n12_n1_n0
13,leave_slow0-0_p6_n1_n1_n0
14,leave_slow0-0_p9_n7_n1_n0
15,leave_slow0-0_p10_n6_n1_n0
16,leave_slow1-0_p3_n10_n1_n0
17,leave_slow1-0_p5_n14_n1_n0
18,leave_slow1-0_p11_n13_n1_n0
19,board_fast1_p8_n12_n0_n1
20,leave_slow1-0_p4_n12_n1_n0
21,leave_slow0-0_p7_n8_n1_n0
22,board_fast1_p1_n16_n1_n2
23,leave_fast1_p1_n4_n2_n1
24,board_slow0-0_p1_n4_n0_n1
25,leave_slow0-0_p1_n2_n1_n0
26,leave_fast1_p8_n0_n1_n0
