Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p3_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p3_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
2,0,2,board_fast0_p4_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p4_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
4,0,4,leave_fast0_p3_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p3_n0_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL2 )
6,0,6,board_fast0_p4_n0_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL3 )
7,0,7,board_fast0_p3_n6_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL6 )
8,0,8,board_fast0_p2_n4_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL4 )
9,0,9,board_fast0_p1_n6_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL7 )
10,0,10,board_fast0_p0_n6_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
11,0,11,board_fast0_p2_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p2_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
13,0,13,leave_fast0_p4_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
14,0,14,board_fast0_p3_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
15,0,15,board_fast0_p3_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
16,0,16,leave_fast0_p2_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
17,0,17,board_fast0_p4_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
18,0,18,board_fast0_p4_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
19,0,19,leave_fast0_p3_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
20,0,20,board_fast0_p3_n0_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL2 )
21,0,21,board_fast0_p4_n0_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL3 )
22,0,22,board_fast0_p4_n6_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL6 )
23,0,23,board_fast0_p2_n4_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL4 )
24,0,24,board_fast0_p1_n8_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL7 )
25,0,25,board_fast0_p0_n8_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
26,0,26,board_fast0_p2_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
27,0,27,board_fast0_p2_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
28,0,28,leave_fast0_p4_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
29,0,29,board_fast0_p3_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
30,0,30,board_fast0_p3_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL5 )
31,0,31,leave_fast0_p2_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
32,0,32,board_fast0_p3_n6_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL2 )
33,0,33,board_fast0_p4_n6_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL3 )
34,0,34,board_fast0_p2_n6_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL6 )
35,0,35,board_fast0_p2_n6_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL4 )
