Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p0_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p0_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
2,0,2,board_fast0_p1_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p1_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
4,0,4,leave_fast0_p0_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p4_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p4_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
7,0,7,leave_fast0_p1_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p8_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
9,0,9,board_fast0_p8_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
10,0,10,leave_fast0_p4_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p0_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p0_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
13,0,13,leave_fast0_p8_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
14,0,14,board_fast0_p1_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
15,0,15,board_fast0_p1_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
16,0,16,leave_fast0_p0_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
17,0,17,board_fast0_p0_n0_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL2 )
18,0,18,board_fast0_p1_n0_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL3 )
19,0,19,board_fast0_p0_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
20,0,20,board_fast0_p4_n0_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL4 )
21,0,21,board_fast0_p8_n0_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL5 )
22,0,22,board_fast0_p9_n2_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL8 )
23,0,23,board_fast0_p6_n2_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL9 )
24,0,24,board_fast0_p7_n2_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL10 )
25,0,25,board_fast0_p10_n2_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL11 )
26,0,26,board_fast0_p2_n4_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL12 )
27,0,27,board_fast0_p11_n4_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL13 )
28,0,28,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL14 )
29,0,29,board_fast0_p5_n4_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL15 )
30,0,30,board_fast0_p12_n4_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL16 )
31,0,31,board_fast0_p4_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
32,0,32,board_fast0_p4_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
