Index,Action
0,board_fast1_p0_n0_n0_n1
1,leave_fast1_p0_n6_n1_n0
2,board_fast1_p1_n0_n0_n1
3,board_fast1_p4_n0_n1_n2
4,board_fast1_p8_n0_n2_n3
5,board_slow0-0_p9_n1_n0_n1
6,board_slow0-0_p7_n3_n1_n2
7,leave_slow0-0_p7_n4_n2_n1
8,board_slow0-0_p10_n3_n1_n2
9,board_fast0_p7_n4_n0_n1
10,leave_slow0-0_p10_n4_n2_n1
11,board_slow0-0_p6_n3_n1_n2
12,board_fast0_p10_n4_n1_n2
13,leave_slow0-0_p6_n4_n2_n1
14,board_slow1-0_p2_n7_n0_n1
15,board_slow1-0_p0_n6_n1_n2
16,leave_slow1-0_p2_n4_n2_n1
17,board_slow1-0_p5_n5_n1_n2
18,leave_slow1-0_p5_n8_n2_n1
19,board_slow1-0_p3_n5_n1_n2
20,leave_slow1-0_p3_n4_n2_n1
21,board_slow1-0_p11_n7_n1_n2
22,leave_slow1-0_p11_n4_n2_n1
23,board_slow1-0_p12_n5_n1_n2
24,leave_slow1-0_p12_n4_n2_n1
25,board_fast0_p5_n8_n2_n3
26,board_slow0-0_p2_n4_n1_n2
27,board_slow1-0_p6_n4_n1_n2
28,leave_fast1_p1_n8_n3_n2
29,leave_fast1_p4_n8_n2_n1
30,leave_fast0_p5_n0_n3_n2
31,leave_fast0_p7_n8_n2_n1
32,leave_fast1_p8_n6_n1_n0
33,leave_slow0-0_p9_n0_n2_n1
34,board_slow0-0_p3_n4_n1_n2
35,leave_fast0_p10_n8_n1_n0
36,leave_slow0-0_p2_n1_n2_n1
37,board_slow0-0_p11_n4_n1_n2
38,leave_slow0-0_p3_n1_n2_n1
39,board_slow0-0_p12_n4_n1_n2
40,leave_slow0-0_p11_n1_n2_n1
41,leave_slow0-0_p12_n1_n1_n0
42,leave_slow1-0_p0_n7_n2_n1
43,leave_slow1-0_p6_n5_n1_n0
