Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p10_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p10_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
2,0,2,board_fast0_p10_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL11 )
3,0,3,board_fast0_p15_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
4,0,4,board_fast0_p15_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
5,0,5,board_fast0_p15_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL11 )
6,0,6,leave_fast0_p10_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
7,0,7,board_fast0_p12_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
8,0,8,board_fast0_p12_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
9,0,9,board_fast0_p12_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL11 )
10,0,10,leave_fast0_p15_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p17_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p17_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
13,0,13,board_fast0_p17_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL11 )
14,0,14,leave_fast0_p10_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
15,0,15,board_fast0_p6_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
16,0,16,board_fast0_p6_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL4 )
17,0,17,board_fast0_p10_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL11 )
18,0,18,leave_fast0_p15_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
19,0,19,board_fast0_p10_n16_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL2 )
20,0,20,board_fast0_p15_n16_n0_n1,(boarded p15 fast0),(P_ARTIFICIAL3 )
21,0,21,board_fast0_p12_n0_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL5 )
22,0,22,board_fast0_p10_n16_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL12 )
23,0,23,board_fast0_p17_n0_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL6 )
24,0,24,board_fast0_p6_n4_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL7 )
25,0,25,board_fast0_p7_n4_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL8 )
26,0,26,board_fast0_p0_n12_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL9 )
27,0,27,board_fast0_p11_n12_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL10 )
28,0,28,board_fast0_p1_n16_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL13 )
29,0,29,board_fast0_p2_n16_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL14 )
30,0,30,board_fast0_p3_n16_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL15 )
31,0,31,board_fast0_p9_n16_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL16 )
32,0,32,board_fast0_p8_n16_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL17 )
33,0,33,board_fast0_p13_n16_n0_n1,(boarded p13 fast0),(P_ARTIFICIAL18 )
34,0,34,board_fast0_p5_n16_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL19 )
35,0,35,board_fast0_p14_n16_n0_n1,(boarded p14 fast0),(P_ARTIFICIAL20 )
36,0,36,board_fast0_p4_n16_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL21 )
