Index,Action
0,board_slow1-0_p1_n10_n0_n1
1,board_slow1-0_p10_n16_n0_n1
2,board_slow1-0_p11_n12_n0_n1
3,board_slow1-0_p15_n16_n0_n1
4,leave_slow1-0_p1_n8_n1_n0
5,leave_slow1-0_p10_n8_n1_n0
6,leave_slow1-0_p11_n8_n1_n0
7,leave_slow1-0_p15_n8_n1_n0
8,board_slow0-0_p12_n0_n0_n1
9,board_slow0-0_p6_n4_n0_n1
10,board_slow0-0_p17_n0_n0_n1
11,leave_slow0-0_p6_n8_n1_n0
12,leave_slow0-0_p17_n8_n1_n0
13,board_slow0-0_p1_n8_n0_n1
14,board_slow0-0_p4_n5_n0_n1
15,board_slow0-0_p5_n2_n0_n1
16,board_slow0-0_p7_n4_n0_n1
17,board_slow0-0_p10_n8_n0_n1
18,board_slow0-0_p11_n8_n0_n1
19,board_slow0-0_p13_n1_n0_n1
20,board_slow0-0_p14_n3_n0_n1
21,board_slow0-0_p15_n8_n0_n1
22,board_slow0-0_p16_n5_n0_n1
23,board_slow1-0_p0_n12_n0_n1
24,board_slow1-0_p2_n11_n0_n1
25,board_slow1-0_p6_n8_n0_n1
26,board_slow1-0_p8_n15_n0_n1
27,board_slow1-0_p17_n8_n0_n1
28,leave_slow0-0_p1_n4_n1_n0
29,leave_slow1-0_p3_n8_n1_n0
30,leave_slow0-0_p4_n0_n1_n0
31,leave_slow1-0_p9_n16_n1_n0
32,leave_slow0-0_p5_n5_n1_n0
33,leave_slow0-0_p7_n3_n1_n0
34,leave_slow0-0_p10_n5_n1_n0
35,leave_slow0-0_p11_n3_n1_n0
36,leave_slow0-0_p12_n3_n1_n0
37,leave_slow0-0_p13_n6_n1_n0
38,leave_slow0-0_p14_n6_n1_n0
39,leave_slow0-0_p15_n5_n1_n0
40,leave_slow0-0_p16_n2_n1_n0
41,leave_slow1-0_p0_n11_n1_n0
42,leave_slow1-0_p2_n15_n1_n0
43,leave_slow1-0_p6_n10_n1_n0
44,leave_slow1-0_p8_n10_n1_n0
45,leave_slow1-0_p17_n15_n1_n0
