Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p11_n12_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p11_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
2,0,2,board_fast0_p11_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
3,0,3,board_fast0_p10_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
4,0,4,board_fast0_p10_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
5,0,5,board_fast0_p10_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
6,0,6,leave_fast0_p11_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
7,0,7,board_fast0_p15_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
8,0,8,board_fast0_p15_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
9,0,9,board_fast0_p15_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
10,0,10,leave_fast0_p11_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p8_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p8_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
13,0,13,board_fast0_p11_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
14,0,14,leave_fast0_p11_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
15,0,15,board_fast0_p12_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
16,0,16,board_fast0_p12_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
17,0,17,board_fast0_p11_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
18,0,18,leave_fast0_p11_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
19,0,19,board_fast0_p5_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
20,0,20,board_fast0_p5_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
21,0,21,board_fast0_p8_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
22,0,22,leave_fast0_p11_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
23,0,23,board_fast0_p11_n12_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL2 )
24,0,24,board_fast0_p10_n16_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL4 )
25,0,25,board_fast0_p15_n16_n0_n1,(boarded p15 fast0),(P_ARTIFICIAL5 )
26,0,26,board_fast0_p11_n12_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL11 )
27,0,27,board_fast0_p8_n4_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL6 )
28,0,28,board_fast0_p12_n4_n0_n1,(boarded p12 fast0),(P_ARTIFICIAL7 )
29,0,29,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL8 )
30,0,30,board_fast0_p14_n8_n0_n1,(boarded p14 fast0),(P_ARTIFICIAL9 )
31,0,31,board_fast0_p3_n12_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL12 )
32,0,32,board_fast0_p9_n12_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL13 )
33,0,33,board_fast0_p19_n12_n0_n1,(boarded p19 fast0),(P_ARTIFICIAL14 )
34,0,34,board_fast0_p4_n12_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL15 )
35,0,35,board_fast0_p2_n12_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL16 )
36,0,36,board_fast0_p16_n12_n0_n1,(boarded p16 fast0),(P_ARTIFICIAL17 )
37,0,37,board_fast0_p6_n12_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL18 )
38,0,38,board_fast0_p18_n12_n0_n1,(boarded p18 fast0),(P_ARTIFICIAL19 )
39,0,39,board_fast0_p0_n12_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL20 )
40,0,40,board_fast0_p17_n12_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL21 )
41,0,41,board_fast0_p1_n12_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL22 )
42,0,42,board_fast0_p7_n12_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL23 )
43,0,43,board_fast0_p13_n12_n0_n1,(boarded p13 fast0),(P_ARTIFICIAL24 )
44,0,44,board_fast0_p14_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
45,0,45,board_fast0_p14_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
46,0,46,board_fast0_p12_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
47,0,47,leave_fast0_p10_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
48,0,48,board_fast0_p11_n16_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
49,0,49,board_fast0_p11_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
50,0,50,board_fast0_p11_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
51,0,51,leave_fast0_p15_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
52,0,52,board_fast0_p11_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
53,0,53,board_fast0_p11_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
54,0,54,board_fast0_p5_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
55,0,55,leave_fast0_p8_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
56,0,56,board_fast0_p11_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
57,0,57,board_fast0_p11_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
58,0,58,board_fast0_p14_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
59,0,59,leave_fast0_p12_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
60,0,60,board_fast0_p11_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
61,0,61,board_fast0_p11_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
62,0,62,board_fast0_p11_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
63,0,63,leave_fast0_p5_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
64,0,64,leave_fast0_p11_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
65,0,65,board_fast0_p10_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
66,0,66,board_fast0_p10_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
67,0,67,leave_fast0_p14_n12_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
68,0,68,leave_fast0_p10_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
69,0,69,board_fast0_p15_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
70,0,70,board_fast0_p15_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
71,0,71,leave_fast0_p10_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
72,0,72,board_fast0_p11_n12_n1_n2,(boarded p11 fast0),(P_ARTIFICIAL2 )
73,0,73,board_fast0_p10_n16_n1_n2,(boarded p10 fast0),(P_ARTIFICIAL4 )
74,0,74,board_fast0_p15_n16_n1_n2,(boarded p15 fast0),(P_ARTIFICIAL5 )
75,0,75,board_fast0_p10_n12_n3_n4,(passengers fast0 n4),(P_ARTIFICIAL11 )
76,0,76,board_fast0_p8_n4_n1_n2,(boarded p8 fast0),(P_ARTIFICIAL6 )
77,0,77,board_fast0_p12_n4_n1_n2,(boarded p12 fast0),(P_ARTIFICIAL7 )
78,0,78,board_fast0_p5_n8_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL8 )
79,0,79,board_fast0_p14_n8_n1_n2,(boarded p14 fast0),(P_ARTIFICIAL9 )
80,0,80,board_fast0_p3_n16_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL12 )
81,0,81,board_fast0_p9_n16_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL13 )
82,0,82,board_fast0_p19_n16_n0_n1,(boarded p19 fast0),(P_ARTIFICIAL14 )
83,0,83,board_fast0_p4_n16_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL15 )
84,0,84,board_fast0_p2_n16_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL16 )
85,0,85,board_fast0_p16_n16_n0_n1,(boarded p16 fast0),(P_ARTIFICIAL17 )
86,0,86,board_fast0_p6_n16_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL18 )
87,0,87,board_fast0_p18_n16_n0_n1,(boarded p18 fast0),(P_ARTIFICIAL19 )
88,0,88,board_fast0_p0_n16_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL20 )
89,0,89,board_fast0_p17_n16_n0_n1,(boarded p17 fast0),(P_ARTIFICIAL21 )
90,0,90,board_fast0_p1_n16_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL22 )
91,0,91,board_fast0_p7_n16_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL23 )
92,0,92,board_fast0_p13_n16_n0_n1,(boarded p13 fast0),(P_ARTIFICIAL24 )
93,0,93,leave_fast0_p15_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
94,0,94,board_fast0_p8_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
95,0,95,board_fast0_p8_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
96,0,96,leave_fast0_p15_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
97,0,97,leave_fast0_p8_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
98,0,98,board_fast0_p12_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
99,0,99,board_fast0_p12_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
100,0,100,leave_fast0_p8_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
101,0,101,leave_fast0_p12_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
102,0,102,board_fast0_p5_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
103,0,103,board_fast0_p5_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
104,0,104,leave_fast0_p12_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
105,0,105,leave_fast0_p5_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
106,0,106,board_fast0_p14_n12_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
107,0,107,board_fast0_p14_n12_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
108,0,108,leave_fast0_p5_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
109,0,109,leave_fast0_p14_n12_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
110,0,110,board_fast0_p8_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
111,0,111,board_fast0_p8_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
112,0,112,leave_fast0_p14_n16_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
113,0,113,leave_fast0_p11_n16_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
114,0,114,board_fast0_p12_n16_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
115,0,115,board_fast0_p12_n16_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL10 )
116,0,116,leave_fast0_p10_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
117,0,117,board_fast0_p11_n16_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL2 )
118,0,118,board_fast0_p10_n16_n2_n3,(boarded p10 fast0),(P_ARTIFICIAL4 )
119,0,119,board_fast0_p15_n16_n2_n3,(boarded p15 fast0),(P_ARTIFICIAL5 )
