Index,Action
0,board_slow1-0_p1_n9_n0_n1
1,board_slow1-0_p13_n10_n0_n1
2,leave_slow1-0_p1_n8_n1_n0
3,leave_slow1-0_p3_n8_n1_n0
4,leave_slow1-0_p13_n8_n1_n0
5,board_slow1-0_p2_n15_n0_n1
6,board_slow1-0_p7_n10_n0_n1
7,board_slow1-0_p11_n12_n0_n1
8,leave_slow1-0_p7_n15_n1_n0
9,leave_slow1-0_p9_n15_n1_n0
10,leave_slow1-0_p11_n11_n1_n0
11,leave_slow1-0_p19_n10_n1_n0
12,board_fast1_p10_n16_n0_n1
13,leave_slow1-0_p2_n12_n1_n0
14,leave_slow1-0_p4_n16_n1_n0
15,board_fast1_p12_n4_n1_n2
16,leave_fast1_p10_n4_n2_n1
17,board_fast1_p1_n8_n1_n2
18,leave_fast1_p12_n8_n2_n1
19,board_slow1-0_p12_n8_n0_n1
20,leave_slow1-0_p12_n11_n1_n0
21,board_fast1_p8_n4_n1_n2
22,board_fast1_p15_n16_n2_n3
23,board_slow0-0_p5_n8_n0_n1
24,board_slow0-0_p6_n3_n1_n2
25,leave_slow0-0_p6_n8_n2_n1
26,board_slow1-0_p6_n8_n0_n1
27,leave_slow1-0_p6_n9_n1_n0
28,board_slow0-0_p0_n6_n1_n2
29,board_slow0-0_p18_n5_n2_n3
30,leave_slow0-0_p0_n4_n3_n2
31,board_slow0-0_p3_n8_n2_n3
32,leave_fast1_p1_n0_n3_n2
33,leave_fast1_p8_n12_n2_n1
34,leave_fast1_p15_n4_n1_n0
35,leave_slow0-0_p18_n0_n3_n2
36,board_slow0-0_p10_n4_n2_n3
37,leave_slow0-0_p3_n5_n3_n2
38,board_slow0-0_p13_n8_n2_n3
39,leave_slow0-0_p5_n3_n3_n2
40,board_slow0-0_p14_n8_n2_n3
41,leave_slow0-0_p10_n2_n3_n2
42,board_slow0-0_p16_n2_n2_n3
43,leave_slow0-0_p13_n5_n3_n2
44,board_slow0-0_p17_n6_n2_n3
45,leave_slow0-0_p14_n7_n3_n2
46,leave_slow0-0_p16_n6_n2_n1
47,leave_slow0-0_p17_n3_n1_n0
