Index,Action
0,board_slow1-0_p5_n11_n0_n1
1,board_slow1-0_p11_n10_n0_n1
2,board_slow1-0_p18_n14_n0_n1
3,leave_slow1-0_p16_n8_n1_n0
4,leave_slow1-0_p5_n8_n1_n0
5,leave_slow1-0_p11_n8_n1_n0
6,leave_slow1-0_p18_n8_n1_n0
7,board_slow1-0_p10_n10_n0_n1
8,board_slow1-0_p13_n9_n0_n1
9,board_slow1-0_p17_n12_n0_n1
10,board_slow1-0_p19_n9_n0_n1
11,board_slow0-0_p4_n7_n0_n1
12,board_slow0-0_p0_n2_n0_n1
13,board_slow0-0_p2_n5_n0_n1
14,board_slow0-0_p7_n2_n0_n1
15,leave_slow0-0_p0_n8_n1_n0
16,leave_slow0-0_p2_n8_n1_n0
17,leave_slow0-0_p4_n8_n1_n0
18,leave_slow0-0_p7_n8_n1_n0
19,board_slow0-0_p8_n3_n0_n1
20,board_slow0-0_p9_n7_n0_n1
21,board_slow0-0_p15_n4_n0_n1
22,board_slow0-0_p16_n8_n0_n1
23,board_slow0-0_p3_n1_n0_n1
24,board_slow0-0_p5_n8_n0_n1
25,board_slow0-0_p11_n8_n0_n1
26,board_slow0-0_p12_n2_n0_n1
27,board_slow0-0_p14_n3_n0_n1
28,board_slow0-0_p18_n8_n0_n1
29,board_slow0-0_p20_n5_n0_n1
30,board_slow0-0_p21_n0_n0_n1
31,board_slow1-0_p0_n8_n0_n1
32,board_slow1-0_p2_n8_n0_n1
33,board_slow1-0_p4_n8_n0_n1
34,board_slow1-0_p7_n8_n0_n1
35,leave_slow0-0_p15_n8_n1_n0
36,leave_slow0-0_p3_n3_n1_n0
37,leave_slow0-0_p5_n2_n1_n0
38,leave_slow0-0_p11_n3_n1_n0
39,leave_slow0-0_p12_n1_n1_n0
40,leave_slow0-0_p14_n5_n1_n0
41,leave_slow0-0_p18_n1_n1_n0
42,leave_slow0-0_p20_n7_n1_n0
43,leave_slow0-0_p21_n7_n1_n0
44,leave_slow1-0_p0_n9_n1_n0
45,leave_slow1-0_p2_n10_n1_n0
46,leave_slow1-0_p4_n15_n1_n0
47,leave_slow1-0_p6_n9_n1_n0
48,leave_slow1-0_p7_n15_n1_n0
49,leave_slow1-0_p10_n11_n1_n0
50,leave_slow1-0_p13_n10_n1_n0
51,leave_slow1-0_p17_n14_n1_n0
52,leave_slow1-0_p19_n10_n1_n0
53,board_fast1_p1_n12_n0_n1
54,leave_slow0-0_p8_n4_n1_n0
55,leave_slow0-0_p9_n8_n1_n0
56,leave_slow0-0_p16_n0_n1_n0
57,leave_fast1_p1_n4_n1_n0
58,board_slow0-0_p1_n4_n0_n1
59,leave_slow0-0_p1_n7_n1_n0
