Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p9_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p9_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
2,0,2,board_fast0_p3_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p3_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
4,0,4,leave_fast0_p9_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p10_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p10_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
7,0,7,leave_fast0_p9_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p11_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
9,0,9,board_fast0_p11_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
10,0,10,leave_fast0_p9_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p8_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
12,0,12,board_fast0_p8_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
13,0,13,leave_fast0_p9_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
14,0,14,board_fast0_p9_n0_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL2 )
15,0,15,board_fast0_p3_n2_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL4 )
16,0,16,board_fast0_p9_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
17,0,17,board_fast0_p10_n2_n0_n1,(boarded p10 fast0),(P_ARTIFICIAL5 )
18,0,18,board_fast0_p11_n2_n0_n1,(boarded p11 fast0),(P_ARTIFICIAL6 )
