Index,Action
0,board_slow1-0_p1_n7_n0_n1
1,board_slow1-0_p8_n4_n0_n1
2,leave_slow1-0_p2_n7_n1_n0
3,board_slow0-0_p7_n3_n0_n1
4,board_slow0-0_p9_n0_n1_n2
5,leave_slow1-0_p5_n4_n1_n0
6,leave_slow1-0_p8_n6_n1_n0
7,board_fast1_p3_n2_n0_n1
8,leave_slow1-0_p1_n6_n1_n0
9,leave_slow1-0_p6_n4_n1_n0
10,board_fast1_p0_n6_n1_n2
11,leave_fast1_p0_n2_n2_n1
12,board_fast1_p5_n4_n1_n2
13,leave_fast1_p3_n6_n2_n1
14,board_fast1_p10_n2_n1_n2
15,board_fast1_p11_n2_n2_n3
16,leave_fast1_p5_n0_n3_n2
17,leave_slow0-0_p7_n2_n2_n1
18,board_slow0-0_p0_n2_n1_n2
19,leave_slow0-0_p9_n2_n2_n1
20,board_slow0-0_p4_n1_n1_n2
21,leave_fast1_p10_n8_n2_n1
22,leave_fast1_p11_n0_n1_n0
23,leave_slow0-0_p0_n1_n2_n1
24,leave_slow0-0_p4_n3_n1_n0
