Index,Action
0,board_fast1_p3_n2_n0_n1
1,board_fast1_p9_n0_n1_n2
2,board_slow0-0_p0_n0_n0_n1
3,board_slow0-0_p1_n3_n1_n2
4,leave_slow0-0_p1_n4_n2_n1
5,board_slow0-0_p2_n4_n1_n2
6,board_slow1-0_p1_n4_n0_n1
7,board_slow1-0_p4_n5_n1_n2
8,leave_slow1-0_p4_n4_n2_n1
9,board_slow1-0_p10_n5_n1_n2
10,leave_fast1_p3_n6_n2_n1
11,leave_fast1_p9_n8_n1_n0
12,leave_slow1-0_p10_n6_n2_n1
13,board_slow1-0_p5_n8_n1_n2
14,leave_slow0-0_p0_n3_n2_n1
15,board_slow0-0_p4_n4_n1_n2
16,leave_slow0-0_p2_n1_n2_n1
17,board_slow0-0_p7_n0_n1_n2
18,leave_slow0-0_p4_n3_n2_n1
19,leave_slow0-0_p7_n3_n1_n0
20,leave_slow1-0_p1_n5_n2_n1
21,board_slow1-0_p6_n8_n1_n2
22,leave_slow1-0_p5_n7_n2_n1
23,board_slow1-0_p8_n7_n1_n2
24,leave_slow1-0_p6_n5_n2_n1
25,leave_slow1-0_p8_n5_n1_n0
