Index,Action
0,board_slow1-0_p2_n13_n0_n1
1,board_slow1-0_p4_n9_n0_n1
2,board_slow1-0_p12_n13_n0_n1
3,board_slow0-0_p3_n0_n0_n1
4,board_slow0-0_p8_n5_n0_n1
5,board_slow0-0_p9_n2_n0_n1
6,leave_slow1-0_p2_n8_n1_n0
7,leave_slow1-0_p4_n8_n1_n0
8,leave_slow1-0_p12_n8_n1_n0
9,leave_slow0-0_p3_n8_n1_n0
10,leave_slow0-0_p8_n8_n1_n0
11,leave_slow0-0_p9_n8_n1_n0
12,board_slow1-0_p0_n13_n0_n1
13,board_slow0-0_p7_n3_n0_n1
14,board_slow0-0_p2_n8_n0_n1
15,board_slow0-0_p4_n8_n0_n1
16,board_slow0-0_p12_n8_n0_n1
17,board_slow1-0_p1_n10_n0_n1
18,board_slow1-0_p3_n8_n0_n1
19,board_slow1-0_p6_n8_n0_n1
20,board_slow1-0_p8_n8_n0_n1
21,board_slow1-0_p9_n8_n0_n1
22,leave_slow0-0_p2_n6_n1_n0
23,leave_slow0-0_p4_n5_n1_n0
24,leave_slow0-0_p12_n5_n1_n0
25,leave_slow0-0_p13_n6_n1_n0
26,leave_slow1-0_p1_n15_n1_n0
27,leave_slow1-0_p3_n14_n1_n0
28,leave_slow1-0_p6_n14_n1_n0
29,leave_slow1-0_p8_n10_n1_n0
30,leave_slow1-0_p9_n9_n1_n0
31,leave_slow1-0_p11_n13_n1_n0
32,board_fast1_p5_n12_n0_n1
33,leave_slow1-0_p0_n8_n1_n0
34,leave_slow0-0_p7_n4_n1_n0
35,board_fast1_p10_n4_n1_n2
36,leave_fast1_p5_n0_n2_n1
37,board_slow0-0_p5_n0_n0_n1
38,leave_slow0-0_p5_n2_n1_n0
39,leave_fast1_p10_n12_n1_n0
