Index,Action
0,board_slow1-0_p4_n7_n0_n1
1,leave_slow1-0_p1_n4_n1_n0
2,leave_slow1-0_p4_n4_n1_n0
3,board_slow1-0_p3_n4_n0_n1
4,board_slow1-0_p5_n4_n0_n1
5,leave_slow1-0_p0_n7_n1_n0
6,leave_slow1-0_p3_n7_n1_n0
7,leave_slow1-0_p5_n7_n1_n0
8,board_slow0-0_p7_n1_n0_n1
9,board_slow0-0_p4_n4_n1_n2
10,board_fast1_p6_n2_n0_n1
11,board_fast1_p1_n4_n1_n2
12,leave_fast1_p1_n0_n2_n1
13,leave_fast1_p6_n4_n1_n0
14,leave_slow0-0_p7_n4_n2_n1
15,board_slow0-0_p8_n1_n1_n2
16,leave_slow0-0_p8_n4_n2_n1
17,board_slow1-0_p8_n4_n0_n1
18,leave_slow1-0_p8_n6_n1_n0
19,board_slow0-0_p2_n2_n1_n2
20,leave_slow0-0_p2_n3_n2_n1
21,leave_slow0-0_p4_n3_n1_n0
