Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p2_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p2_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
2,0,2,board_fast0_p6_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p6_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
4,0,4,leave_fast0_p2_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p3_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p3_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
7,0,7,leave_fast0_p6_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p5_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
9,0,9,board_fast0_p5_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
10,0,10,leave_fast0_p3_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p2_n2_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
12,0,12,board_fast0_p6_n2_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL3 )
13,0,13,board_fast0_p2_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
14,0,14,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL4 )
15,0,15,board_fast0_p5_n4_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL5 )
16,0,16,board_fast0_p7_n8_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL8 )
17,0,17,board_fast0_p8_n8_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL9 )
18,0,18,board_fast0_p0_n8_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
19,0,19,board_fast0_p1_n8_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL11 )
20,0,20,board_fast0_p4_n8_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL12 )
21,0,21,board_fast0_p2_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
22,0,22,board_fast0_p2_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
23,0,23,leave_fast0_p5_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
24,0,24,board_fast0_p6_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
25,0,25,board_fast0_p6_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
26,0,26,leave_fast0_p2_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
27,0,27,board_fast0_p3_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
28,0,28,board_fast0_p3_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
29,0,29,leave_fast0_p6_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
30,0,30,board_fast0_p5_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
31,0,31,board_fast0_p5_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
32,0,32,leave_fast0_p3_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
33,0,33,board_fast0_p2_n2_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL2 )
34,0,34,board_fast0_p6_n2_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL3 )
35,0,35,board_fast0_p6_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
36,0,36,board_fast0_p3_n4_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL4 )
37,0,37,board_fast0_p5_n4_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL5 )
38,0,38,board_fast0_p7_n0_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL8 )
39,0,39,board_fast0_p8_n0_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL9 )
40,0,40,board_fast0_p0_n4_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
41,0,41,board_fast0_p1_n4_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL11 )
42,0,42,board_fast0_p4_n4_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL12 )
43,0,43,board_fast0_p2_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
44,0,44,board_fast0_p2_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
45,0,45,leave_fast0_p5_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
46,0,46,board_fast0_p6_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
47,0,47,board_fast0_p6_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
48,0,48,leave_fast0_p2_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
49,0,49,board_fast0_p3_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
50,0,50,board_fast0_p3_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
51,0,51,leave_fast0_p6_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
52,0,52,board_fast0_p5_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
53,0,53,board_fast0_p5_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
54,0,54,leave_fast0_p3_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
55,0,55,board_fast0_p3_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
56,0,56,board_fast0_p3_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
57,0,57,leave_fast0_p5_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
58,0,58,board_fast0_p2_n8_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
59,0,59,board_fast0_p6_n8_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL3 )
60,0,60,board_fast0_p3_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
61,0,61,board_fast0_p3_n8_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL4 )
62,0,62,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL5 )
63,0,63,board_fast0_p7_n2_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL8 )
64,0,64,board_fast0_p8_n2_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL9 )
65,0,65,board_fast0_p0_n6_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL10 )
66,0,66,board_fast0_p1_n6_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL11 )
67,0,67,board_fast0_p4_n6_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL12 )
68,0,68,board_fast0_p5_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
69,0,69,board_fast0_p5_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
70,0,70,leave_fast0_p2_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
71,0,71,board_fast0_p2_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
72,0,72,board_fast0_p2_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
73,0,73,leave_fast0_p6_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
74,0,74,board_fast0_p6_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
75,0,75,board_fast0_p6_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
76,0,76,leave_fast0_p3_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
77,0,77,board_fast0_p2_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
78,0,78,board_fast0_p2_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
79,0,79,leave_fast0_p5_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
80,0,80,board_fast0_p2_n0_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL2 )
81,0,81,board_fast0_p6_n0_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL3 )
82,0,82,board_fast0_p5_n8_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
83,0,83,board_fast0_p3_n0_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL4 )
84,0,84,board_fast0_p5_n0_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL5 )
85,0,85,board_fast0_p7_n4_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL8 )
86,0,86,board_fast0_p8_n4_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL9 )
87,0,87,board_fast0_p0_n8_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL10 )
88,0,88,board_fast0_p1_n8_n1_n2,(boarded p1 fast0),(P_ARTIFICIAL11 )
89,0,89,board_fast0_p4_n8_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL12 )
90,0,90,board_fast0_p6_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
91,0,91,board_fast0_p6_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
92,0,92,leave_fast0_p2_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
93,0,93,board_fast0_p3_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
94,0,94,board_fast0_p3_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
95,0,95,leave_fast0_p6_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
96,0,96,board_fast0_p5_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
97,0,97,board_fast0_p5_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
