Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p4_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p4_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
2,0,2,board_fast0_p0_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p0_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
4,0,4,leave_fast0_p4_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p1_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p1_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
7,0,7,leave_fast0_p4_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p4_n0_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
9,0,9,board_fast0_p0_n2_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL4 )
10,0,10,board_fast0_p4_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
11,0,11,board_fast0_p1_n4_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL5 )
12,0,12,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL6 )
13,0,13,board_fast0_p5_n6_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL7 )
14,0,14,board_fast0_p2_n8_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL8 )
15,0,15,board_fast0_p3_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
16,0,16,board_fast0_p3_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
17,0,17,leave_fast0_p4_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
18,0,18,board_fast0_p5_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
19,0,19,board_fast0_p5_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
20,0,20,leave_fast0_p4_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
21,0,21,board_fast0_p2_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
22,0,22,board_fast0_p2_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
23,0,23,leave_fast0_p4_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
24,0,24,board_fast0_p4_n0_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL2 )
25,0,25,board_fast0_p0_n2_n1_n2,(boarded p0 fast0),(P_ARTIFICIAL4 )
26,0,26,board_fast0_p0_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
27,0,27,board_fast0_p1_n4_n1_n2,(boarded p1 fast0),(P_ARTIFICIAL5 )
28,0,28,board_fast0_p3_n4_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL6 )
29,0,29,board_fast0_p5_n6_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL7 )
30,0,30,board_fast0_p2_n8_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL8 )
31,0,31,board_fast0_p4_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
32,0,32,board_fast0_p4_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
33,0,33,leave_fast0_p0_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
34,0,34,board_fast0_p4_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
35,0,35,board_fast0_p4_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
36,0,36,leave_fast0_p1_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
37,0,37,board_fast0_p4_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
38,0,38,board_fast0_p4_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
39,0,39,leave_fast0_p3_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
40,0,40,board_fast0_p4_n2_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
41,0,41,board_fast0_p0_n2_n2_n3,(boarded p0 fast0),(P_ARTIFICIAL4 )
42,0,42,board_fast0_p4_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
43,0,43,board_fast0_p1_n4_n2_n3,(boarded p1 fast0),(P_ARTIFICIAL5 )
44,0,44,board_fast0_p3_n4_n2_n3,(boarded p3 fast0),(P_ARTIFICIAL6 )
45,0,45,board_fast0_p5_n6_n2_n3,(boarded p5 fast0),(P_ARTIFICIAL7 )
46,0,46,board_fast0_p2_n8_n2_n3,(boarded p2 fast0),(P_ARTIFICIAL8 )
47,0,47,board_fast0_p4_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
48,0,48,board_fast0_p4_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
49,0,49,leave_fast0_p5_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
50,0,50,leave_fast0_p4_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
51,0,51,board_fast0_p0_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
52,0,52,leave_fast0_p2_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
53,0,53,leave_fast0_p0_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
54,0,54,board_fast0_p1_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
55,0,55,leave_fast0_p0_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
56,0,56,board_fast0_p4_n4_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
57,0,57,board_fast0_p0_n0_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL4 )
58,0,58,board_fast0_p1_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
59,0,59,board_fast0_p1_n0_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL5 )
60,0,60,board_fast0_p3_n0_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL6 )
61,0,61,board_fast0_p5_n0_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL7 )
62,0,62,board_fast0_p2_n0_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL8 )
63,0,63,leave_fast0_p1_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
64,0,64,board_fast0_p3_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
65,0,65,leave_fast0_p1_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
66,0,66,leave_fast0_p3_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
67,0,67,board_fast0_p5_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
68,0,68,leave_fast0_p3_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
69,0,69,leave_fast0_p5_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
70,0,70,board_fast0_p2_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
71,0,71,leave_fast0_p5_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
72,0,72,board_fast0_p4_n6_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
73,0,73,board_fast0_p1_n2_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL5 )
74,0,74,board_fast0_p3_n4_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL9 )
75,0,75,board_fast0_p3_n2_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL6 )
76,0,76,board_fast0_p5_n2_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL7 )
77,0,77,board_fast0_p2_n2_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL8 )
78,0,78,board_fast0_p0_n4_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL4 )
79,0,79,leave_fast0_p2_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
80,0,80,board_fast0_p1_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL3 )
81,0,81,leave_fast0_p2_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
82,0,82,leave_fast0_p4_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
