Record number,Agent's name,Agent's record number,Action,Effect,Artificial effect
0,0,0,board_fast0_p4_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
1,0,1,board_fast0_p4_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
2,0,2,board_fast0_p8_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
3,0,3,board_fast0_p8_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
4,0,4,leave_fast0_p4_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
5,0,5,board_fast0_p7_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
6,0,6,board_fast0_p7_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
7,0,7,leave_fast0_p8_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
8,0,8,board_fast0_p9_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
9,0,9,board_fast0_p9_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
10,0,10,leave_fast0_p7_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
11,0,11,board_fast0_p4_n2_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
12,0,12,board_fast0_p8_n2_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL3 )
13,0,13,board_fast0_p4_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
14,0,14,board_fast0_p7_n4_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL4 )
15,0,15,board_fast0_p9_n8_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL5 )
16,0,16,board_fast0_p0_n0_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
17,0,17,board_fast0_p1_n0_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL9 )
18,0,18,board_fast0_p2_n4_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL10 )
19,0,19,board_fast0_p3_n4_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL11 )
20,0,20,board_fast0_p6_n4_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL12 )
21,0,21,board_fast0_p5_n4_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL13 )
22,0,22,board_fast0_p4_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
23,0,23,board_fast0_p4_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
24,0,24,leave_fast0_p9_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
25,0,25,board_fast0_p8_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
26,0,26,board_fast0_p8_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
27,0,27,leave_fast0_p4_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
28,0,28,board_fast0_p7_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
29,0,29,board_fast0_p7_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
30,0,30,leave_fast0_p8_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
31,0,31,board_fast0_p9_n0_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
32,0,32,board_fast0_p9_n0_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
33,0,33,leave_fast0_p7_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
34,0,34,board_fast0_p7_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
35,0,35,board_fast0_p7_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
36,0,36,leave_fast0_p9_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
37,0,37,board_fast0_p4_n2_n1_n2,(boarded p4 fast0),(P_ARTIFICIAL2 )
38,0,38,board_fast0_p8_n2_n1_n2,(boarded p8 fast0),(P_ARTIFICIAL3 )
39,0,39,board_fast0_p8_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
40,0,40,board_fast0_p7_n4_n1_n2,(boarded p7 fast0),(P_ARTIFICIAL4 )
41,0,41,board_fast0_p9_n8_n1_n2,(boarded p9 fast0),(P_ARTIFICIAL5 )
42,0,42,board_fast0_p0_n2_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
43,0,43,board_fast0_p1_n2_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL9 )
44,0,44,board_fast0_p2_n6_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL10 )
45,0,45,board_fast0_p3_n6_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL11 )
46,0,46,board_fast0_p6_n6_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL12 )
47,0,47,board_fast0_p5_n6_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL13 )
48,0,48,board_fast0_p9_n2_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
49,0,49,board_fast0_p9_n2_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
50,0,50,leave_fast0_p4_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
51,0,51,board_fast0_p4_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
52,0,52,board_fast0_p4_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
53,0,53,leave_fast0_p8_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
54,0,54,board_fast0_p8_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
55,0,55,board_fast0_p8_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
56,0,56,leave_fast0_p7_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
57,0,57,board_fast0_p9_n4_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
58,0,58,board_fast0_p9_n4_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
59,0,59,leave_fast0_p9_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
60,0,60,board_fast0_p4_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
61,0,61,board_fast0_p4_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
62,0,62,leave_fast0_p4_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
63,0,63,board_fast0_p8_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
64,0,64,board_fast0_p8_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
65,0,65,leave_fast0_p8_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
66,0,66,board_fast0_p4_n0_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
67,0,67,board_fast0_p8_n0_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL3 )
68,0,68,board_fast0_p7_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
69,0,69,board_fast0_p7_n0_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL4 )
70,0,70,board_fast0_p9_n0_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL5 )
71,0,71,board_fast0_p0_n4_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
72,0,72,board_fast0_p1_n4_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL9 )
73,0,73,board_fast0_p2_n8_n0_n1,(boarded p2 fast0),(P_ARTIFICIAL10 )
74,0,74,board_fast0_p3_n8_n0_n1,(boarded p3 fast0),(P_ARTIFICIAL11 )
75,0,75,board_fast0_p6_n8_n0_n1,(boarded p6 fast0),(P_ARTIFICIAL12 )
76,0,76,board_fast0_p5_n8_n0_n1,(boarded p5 fast0),(P_ARTIFICIAL13 )
77,0,77,board_fast0_p7_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
78,0,78,board_fast0_p7_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
79,0,79,leave_fast0_p7_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
80,0,80,board_fast0_p9_n6_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
81,0,81,board_fast0_p9_n6_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
82,0,82,leave_fast0_p9_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
83,0,83,board_fast0_p4_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
84,0,84,board_fast0_p4_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
85,0,85,leave_fast0_p4_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
86,0,86,board_fast0_p8_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
87,0,87,board_fast0_p8_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
88,0,88,leave_fast0_p8_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
89,0,89,board_fast0_p7_n2_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL4 )
90,0,90,board_fast0_p9_n2_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL5 )
91,0,91,board_fast0_p9_n0_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
92,0,92,board_fast0_p4_n4_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
93,0,93,board_fast0_p8_n4_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL3 )
94,0,94,board_fast0_p0_n6_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
95,0,95,board_fast0_p1_n6_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL9 )
96,0,96,board_fast0_p2_n4_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL10 )
97,0,97,board_fast0_p3_n4_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL11 )
98,0,98,board_fast0_p6_n4_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL12 )
99,0,99,board_fast0_p5_n4_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL13 )
100,0,100,board_fast0_p7_n8_n0_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
101,0,101,board_fast0_p7_n8_n1_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
102,0,102,leave_fast0_p7_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
103,0,103,leave_fast0_p4_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
104,0,104,leave_fast0_p4_n0_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
105,0,105,leave_fast0_p9_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
106,0,106,leave_fast0_p8_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
107,0,107,leave_fast0_p8_n0_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
108,0,108,leave_fast0_p0_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
109,0,109,leave_fast0_p7_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
110,0,110,leave_fast0_p7_n0_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
111,0,111,leave_fast0_p1_n0_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
112,0,112,leave_fast0_p9_n0_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
113,0,113,leave_fast0_p9_n0_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
114,0,114,leave_fast0_p0_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
115,0,115,leave_fast0_p4_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
116,0,116,leave_fast0_p4_n2_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
117,0,117,leave_fast0_p1_n2_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
118,0,118,board_fast0_p9_n4_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL5 )
119,0,119,board_fast0_p4_n6_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
120,0,120,board_fast0_p4_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
121,0,121,board_fast0_p8_n6_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL3 )
122,0,122,board_fast0_p7_n6_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL4 )
123,0,123,board_fast0_p0_n8_n0_n1,(boarded p0 fast0),(P_ARTIFICIAL8 )
124,0,124,board_fast0_p1_n8_n0_n1,(boarded p1 fast0),(P_ARTIFICIAL9 )
125,0,125,board_fast0_p2_n6_n1_n2,(boarded p2 fast0),(P_ARTIFICIAL10 )
126,0,126,board_fast0_p3_n6_n1_n2,(boarded p3 fast0),(P_ARTIFICIAL11 )
127,0,127,board_fast0_p6_n6_n1_n2,(boarded p6 fast0),(P_ARTIFICIAL12 )
128,0,128,board_fast0_p5_n6_n1_n2,(boarded p5 fast0),(P_ARTIFICIAL13 )
129,0,129,leave_fast0_p8_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
130,0,130,leave_fast0_p8_n2_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
131,0,131,leave_fast0_p0_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
132,0,132,leave_fast0_p7_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
133,0,133,leave_fast0_p7_n2_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
134,0,134,leave_fast0_p1_n4_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
135,0,135,leave_fast0_p9_n2_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
136,0,136,leave_fast0_p9_n2_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
137,0,137,leave_fast0_p0_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
138,0,138,leave_fast0_p4_n4_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
139,0,139,leave_fast0_p4_n4_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
140,0,140,leave_fast0_p1_n6_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
141,0,141,leave_fast0_p8_n4_n2_n1,(passengers fast0 n1),(P_ARTIFICIAL1 )
142,0,142,leave_fast0_p8_n4_n3_n2,(passengers fast0 n2),(P_ARTIFICIAL6 )
143,0,143,leave_fast0_p0_n8_n1_n0,(passengers fast0 n0),(P_ARTIFICIAL0 )
144,0,144,board_fast0_p9_n6_n0_n1,(boarded p9 fast0),(P_ARTIFICIAL5 )
145,0,145,board_fast0_p4_n8_n0_n1,(boarded p4 fast0),(P_ARTIFICIAL2 )
146,0,146,board_fast0_p8_n2_n2_n3,(passengers fast0 n3),(P_ARTIFICIAL7 )
147,0,147,board_fast0_p8_n8_n0_n1,(boarded p8 fast0),(P_ARTIFICIAL3 )
148,0,148,board_fast0_p7_n8_n0_n1,(boarded p7 fast0),(P_ARTIFICIAL4 )
