Index,Action
0,board_slow0-0_p1_n2_n0_n1
1,board_slow0-0_p6_n3_n0_n1
2,leave_slow0-0_p1_n8_n1_n0
3,leave_slow0-0_p9_n8_n1_n0
4,leave_slow1-0_p2_n8_n1_n0
5,leave_slow0-0_p6_n8_n1_n0
6,board_slow1-0_p1_n8_n0_n1
7,board_slow1-0_p5_n14_n0_n1
8,board_slow1-0_p9_n8_n0_n1
9,board_slow0-0_p2_n8_n0_n1
10,board_slow1-0_p6_n8_n0_n1
11,board_slow1-0_p8_n14_n0_n1
12,leave_slow1-0_p1_n16_n1_n0
13,leave_slow0-0_p3_n0_n1_n0
14,leave_slow1-0_p4_n16_n1_n0
15,leave_slow1-0_p5_n16_n1_n0
16,leave_slow1-0_p7_n16_n1_n0
17,leave_slow1-0_p9_n16_n1_n0
18,leave_slow0-0_p2_n1_n1_n0
19,leave_slow1-0_p0_n15_n1_n0
20,leave_slow1-0_p6_n14_n1_n0
21,leave_slow1-0_p8_n10_n1_n0
